designation,degree,premium,profile_pic,connected,username
Frontend Developer - Junior Software Engineer Oak Ridge National Laboratory,2,false,true,false,maria-brock
"UX/UI Designer Construct AI, Inc.",3,false,true,false,hunter-goldberg
Founder of Medikit Corporation,3,false,true,false,shamim-ashrafi-19920118
UX Designer Target,2,false,true,false,ama-bonsu-a107a1161
UX & UI Designer Walt Disney Animation Studios,2,false,true,false,nicole-vatland
Junior UX / UI Designer Holimart,3,false,true,false,ralph-a-capriglione-5bb1901b9
Scrum Master at RedDot Digital Limited,3,false,true,false,nushrat-farhana-csm-933a7a10a
UX Designer Growth Foundry,3,false,true,false,guillermogalicia
master kung fu panda Inc.,2,false,true,false,kung-fu-panda-005a43141
UX/UI Designer Everest,2,false,true,false,jessica-moon-
UX/UI Designer Green Baron Labs,3,false,true,false,valerieesma
Feature Writer Roar Bangla,3,false,true,false,minhaj-abedin
Associate Producer at DreamWorks Animation,2,false,true,false,heather-lanza-615b7850
Senior UX / UI Designer & Visual Developer CK-12 Foundation,3,false,true,false,louiesakoda
Digital Media Specialist - Yamaha İstanbul,3,false,true,false,serefumut
--,3,false,true,false,magaly-kung-fu-diaz-8b551b26
Corporate Marketing at Cloudflare,3,false,true,false,ajherrera
UX/UI Design Intern Milsomuster,2,false,true,false,triciaberggren
--,2,false,true,false,fernando-kung-fu-037028187
Chief Executive Officer at iNiLabs,2,false,true,false,rabiul-islam-3386a490
Student at Northeastern University,3,false,true,false,jacqueline-chao
SQA at Shajao.com,1,false,true,true,rubaia-islam-359687232
UX/UI Designer Weave HQ,3,false,true,false,spennydix
UX/UI Designer MindFlow Design,3,false,true,false,alliesieben
"Master Facilitator at IFMC-II, DAE (GoB)-DANIDA",2,false,true,false,kaisar-parvez-a6300246
Chairman Asia Filtration Pvt. Limited,2,false,true,false,md-jahangir-kabir-a3694346
Môn Phái Hắc Xà Quyền,3,false,true,false,hac-xa-quyen-kung-fu-wu-shu-5202135b
"While looking for, and working on, intermittant short-term contracts I am seeking a perminant role Independent Contractor",3,true,true,false,michellelinder
UX/ UI Designer METER Group,2,false,true,false,melissahisona-reyes
UX/UI Designer WarnerMedia,3,false,true,false,reece-kkim
Jr. UX/UI Designer Ultra Mobile,2,false,true,false,gracehlee01
shoalin kung-fu teacher at Indian kung-fu federation,2,false,true,false,karan-zogleker-kumar-allindian-kung-fu-federation-40412b205
Games sales and esports coordinator at WarnerMedia,3,false,true,false,javier-miranda-074a9a127
Master of Business Administration - MBA at Daffodil International University-DIU,3,false,true,false,md-nahidul-islam-nahid-661301154
Performance Marketing Lead PUMA Group,2,false,true,false,sammiller1989
Chairman at Pbaria Group,2,false,true,false,nuruzzaman-rana
UX/UI Designer PNC,2,false,true,false,niloofar-siahpolo
UX/UI Designer ingredientsonline.com,2,false,true,false,jason-young-%F0%9F%96%A5-21007517
Founder Beautiful Constraints,2,false,true,false,aaronaalto
UI Designer One Door,3,false,true,false,hoshedarbamji
Head of Enterprise  AppsFlyer,3,true,true,false,brian-michael-murch-4912744
,2,false,true,false,m-morshed-ahsan-29256aa8
SQA at Shajao.com,1,false,true,true,rubaia-islam-359687232
Swisstex Group,2,false,true,false,murtaza-anwar-chandan-81502827
Writer BBN Times,3,false,true,false,issac-thomas-contentmarketing
Aluno na Centro universitário italo brasileiro,2,false,true,false,dayane-kung-fu-011a91119
Freelance UX/UI Designer Freelance,2,true,true,false,anantjain288
Senior Technical UI Designer High Moon Studios,3,false,true,false,kyleturchik
Certified Personal Trainer at Delhi kungfu club,3,false,true,false,delhi-kung-fu-club-8257a486
Freelance Content Writer & Copywriter Freelancer- Self employed,3,false,true,false,shivamfreelancer
Design System Lucid Motors,3,false,true,false,zhen-li-1006
UX/UI Designer Marti Rhea Design,2,true,true,false,martirhea
Freelance Senior UX/UI Designer Walmart Labs,2,false,true,false,jameszulkie
Professional Actor SAG-AFTRA,2,false,true,false,mjl810
CEO CRV Resources.,2,false,true,false,rezwanul-seraji-24430338
Master of Business Administration - MBA at Dhaka International University,3,false,true,false,zahidhossainsth
Graphic Web Designer Noble Schools,3,false,true,false,adan-lopez
,3,false,true,false,pablo-kung-fu-7ab03474
"""Kung Fu & Zen""Weekend Retreat Beijing July 3",2,false,true,false,kung-fu-zen-garden-retreat-3a20801a
Master of Science - MS at Khulna University,3,false,true,false,md-sanwar-hossen-23210b17a
"Chief Executive Officer (CEO) at Canadian Immigration Solution Services Contact: 01620976696, E-mail: cissbd.com@gmail.com",3,false,true,false,pangkoj-sarkar-1aa4b0111
UX/UI Designer Pattern,2,false,true,false,annabrenner
Een enthousiaste en proactieve trainer met een passie voor groei en ontwikkeling.,2,false,true,false,yannick-abath
UX Designer Optum,3,false,true,false,andreyadison
"Master Shaolin Kung Fu, Wudang Tradicional y SanDa en Wudang Daoist Traditional Internal Kung Fu Academy",2,false,true,false,clases-wushu-kung-fu-y-sanda-663b453a
--,3,false,true,false,fu-kung-8474ba87
UX Designer KW2,2,true,true,false,bevan-alomepe
"Student at Chinese Kung-Fu, Wu-Su Association",3,false,true,false,kung-fu-8a4a08a3
"Recruiter Process Partner at Touchstone Mental Health, Owner and CEO at MedSearch Corporation and Blackbird Personnel",2,false,true,false,allen-shaw-389b3b28
UX/UI designer Iran Kish Credit Card Co(Kiccc),2,false,true,false,safoura-dezfoulian-b2202a87
UX-UI Designer - Design Manager TeckLink,2,false,true,false,ibic
Master of Social Science | Copywriter | Passion for Tech | Actively Seeking Full Time Opportunities |,3,false,true,false,jobayerdubd
Associate UI Designer Blizzard Entertainment,2,false,true,false,jessica-tobin
Lead UI Designer Activision,2,true,true,false,alexbenbassat
UX/UI Designer Dogtown Media,2,false,true,false,lauren-glenn
UX/UI Designer Activision Blizzard,2,false,true,false,shadae-kawaguchi
Chief Executive Officer PETROTEST INSTRUMENTS,3,false,true,false,muhammad-zahidur-rahim-bhuiyan-73aa741b0
Founder & Managing Partner of Teresa | Business Analyst,3,false,true,false,rehana-parvin-brishty-2ab6aa1b6
UX/UI Designer Rokt,3,false,true,false,sivanbachar
Managing Partner Forest Hills Capital Management,3,true,true,false,rogeraguinaldo
Master Mariner,2,false,true,false,capt-rafed-al-shad-47a0a026
Senior Product Designer (UX-UI) Dell,2,true,true,false,niazzia
UI/UX Product Designer Viome,3,false,true,false,susanzheng330
Managing Director & CEO at Hermes Genesis Limited,2,false,true,false,rousseauu
UI/UX Designer CitrusBits,3,true,true,false,gabriella-chen-0b61b5157
UX Designer- Invest Ally,3,false,true,false,briannasjohnson
Pattern Master at Sunshine Apparel Ltd,2,false,true,false,zahangir-alam-b258b4203
Chief Executive Officer at KTSN COSULTANTS BANGLADESH,2,false,true,false,a-k-m-alam-945a9733
Customer Service Officer Pharma Solutions Bangladesh Limited ,3,false,true,false,farhana-jerin-asha-178b83189
Senior User Interface Designer Carvana,3,false,true,false,stella-choe
Master at NYK Shipmanagement,2,false,true,false,saifullah-sheikh-8580634a
"Interior Job Captain Form4 Architecture, Inc.",2,false,true,false,yashi-sikaria
UI UX Designer Thunkable,2,false,true,false,yue-xi-31699295
Freelance Designer thejoshhua,3,false,true,false,thejoshhua
UX/UI Designer Savage X Fenty: Lingerie by Rihanna,2,false,true,false,brittanynguyen1
"Deputy Director Edison Group (Symphony Mobile & Accessories, Siemens)",3,false,true,false,md-amran-hossan-fca-51586b201
UX-UI Designer SNAP Inc,2,false,true,false,clowarddesign
Hydraulic Sales Specialist at Lifco Hydraulics Ltd.,3,false,true,false,adrian-b-0148b37
Product Designer | Web Developer | Digital Marketer,1,false,true,true,frayon
Designer thenewboston,2,false,true,false,kristy-kj-lee-912209111
UX / UI Visual Design Consultant,2,false,true,false,kennethdrowe
Master of Science - MS at University of Dhaka,3,false,true,false,afsana-zaman-1216881b8
"Founder & CEO at Sornaly Online Shopping, F-Bazar.com.bd , SornalyShop.com,RS Courier Service.",2,false,true,false,milkan-sakir-sani-8a23661b6
UX/UI Designer Proctorio,2,true,true,false,so-eun-choi-493394192
 UI/UX Designer Vaco,3,false,true,false,bokharaee
Software Recruitment Consultant,2,true,true,false,georgeillingworthx4
Chef Color Master at Impress-Newtex Composite Textiles Ltd.,3,false,true,false,lokman-hossain-75974494
UX/UI designer (Lead) Setplex,3,false,true,false,nastassiazharnouskaya
Master Trainer at Bangladesh Nari Progati Sangha (BNPS),2,false,true,false,mr-nabaleswar-dewan-4825b936
Chief Executive Officer (CEO),3,false,true,false,emon-islam-15a199215
Master of Business Administration - MBA at National University.,2,false,true,false,md-ashraf-ali-64654a220
"Chief Science Officer DataPrime, Inc.",2,true,true,false,kirkdborne
Dyeing Master At Ha Meem Group,3,false,true,false,mominul-islam-a1795921b
UX Designer Google,3,false,true,false,amikubota
--,2,false,true,false,daniel-kung-fu-161b282b
Experienced UX/UI Designer DreamzSoftware,3,false,true,false,sadoth-barragan-63a811212
Associate Scientist Henry Ford Health System,1,false,true,true,nallasivam
Product Designer | Web Developer | Digital Marketer,1,false,true,true,frayon
Senior UX + UI Designer BNY Mellon,2,false,true,false,gregory-hilderbrand-b0965743
--,3,false,true,false,kung-fu-en-madrid-escuelasdekungfuenmadrid-72502b13a
UX/UI Designer Carl Wright Design,2,true,true,false,carlreiterwright
UX Designer Freelance,3,false,true,false,burul-sultan-95330170
Writer The Hustle,2,false,true,false,tp23
Digital Marketer,3,false,true,false,miss-yesmin
Associate UX/UI Designer NortonLifeLock,2,false,true,false,sherrytao
Product Designer Times Internet,3,false,true,false,kritika-gulati
Junior Visual Designer Grapevine AI,3,true,true,false,jacksonhayley
UI/UX Designer Lingraphica,3,false,true,false,khushboo-panchal
Blockchain CTO @ EY,3,false,true,false,arwinholmes
"Director of DEI, Culture and Communication Behavioral Health Kansas City",2,false,true,false,demetrios-walker-812193156
Course Leader: MSc Cosmetic Science,3,false,true,false,diogo-baltazar
Lead Graphic Designer CASSANDRA BANKSON LLC,2,false,true,false,laurenaubreylee
Gerente General HCB Group / VP Educación y Comunicaciones ABPMP Perú Chapter / Director del Programa Internacional en BPM - UPAL,3,false,true,false,felixmejiatam
Chief Executive Officer at Yellow Access Pro,3,false,true,false,imran-ahmed-732a0145
--,3,false,true,false,art-from-kung-fu-9613b245
--,3,false,true,false,ronaldo-kung-fu-467a6237
UX Designer Amazon,2,false,true,false,sergeikovtun
UI/UX Designer Cisco,2,false,true,false,yuanjiang-timon
logistic manager at officemate int'l,3,false,true,false,kung-fu-hwang-7692526b
UX/UI Design Student Kenzie Academy,2,false,true,false,kelsy-foulker
UX Designer Canyu Tech Co.Ltd.,3,true,true,false,chenjun-su-77970a159
Customer Service Manager Swisstex Group,2,false,true,false,jannatul-ferdous-moushumi-495369129
Youtuber at nothing,3,false,true,false,journey-to-the-drunken-kung-fu-6bb9311a4
Marketing Strategist | VP Account Services at Communicā,2,true,true,false,nickritota
UX/UI Designer REELY,3,false,true,false,sonialeticia
Officer Monitoring and Evaluation at BRAC Master of Urban and Regional Planning MURP & BURP at Jahangirnagar University,3,false,true,false,abdullah-al-tariq-aat
User Experience Designer DePalma Studios,3,false,true,false,chengru-ux-design
Entrepreneur || Founder & Chief Executive Officer(CEO) at Gontobbo Courier Service Ltd.,3,false,true,false,sharifulrukon
UX/UI Designer  Remote Roofing,3,false,true,false,kelly-qin
UI Designer Healthy Minds Innovations,3,false,true,false,abegail-cariaso
UI/UX Designer Freelance,3,false,true,false,francescawilder
Master of Business Administration - MBA at Comilla University,2,false,true,false,tanvir-cou
UX Designer Outspoke.io,2,false,true,false,shane-e-mccaffery
"Cyber Security Operations Manager (SECOPS), GDSA, GCDA, GCIH, GNFA, CCNP Security, SANS and Cisco Academy Instructor",3,true,true,false,packetengineer
UX/UI Designer Springboard,3,true,true,false,jennakrinsley
Senior UI/UX Designer Insight,3,false,true,false,jrobertson26
Student at Tecnologia kuwait,2,false,true,false,kung-fu-janna-6396a1182
"UX/UI Designer WiseSoft, LLC",2,false,true,false,katalinavz
Frontend Developer at 6sense | High Tech Software Agency,1,true,true,true,md-jahid-hasan-anik
Head of Design and Marketing Beit Juhuro,2,false,true,false,julia-ginsburg-30a498202
Product Designer | Web Developer | Digital Marketer,1,false,true,true,frayon
Product Designer | Web Developer | Digital Marketer,1,false,true,true,frayon
SQA at 6sense | High Tech Software Agency,1,false,true,true,tarannum-islam-714b9b230
Executive Speaker and Corporate Vocal Coach. I help everyone express and convey their emotions and uniqueness as they speak to improve their social and work experience. Communication skills are alive only with emotions!,2,false,true,false,mylenavocalcoach
UX UI Designer Schuco USA,3,false,true,false,victoria-erickson-10125a50
Chief Executive Officer (CEO) at Web Lab Bangladesh,2,false,true,false,razibkushtia
Student at University of Dhaka,3,false,true,false,nazmus-sakib-4971b81b1
UI Designer AT&T,3,false,true,false,tmcfarland14
Founder & CEO at MNTEX APPARELS INC.,2,false,true,false,nurnobi-nadim-manik-47364671
Accountant at IMT,2,false,true,false,learn-kung-fu-apps
Product Designer - UX UI  Divvy | Inc.,3,false,true,false,sarah-jaspersen
PROFESSOR,2,false,true,false,christiano-kung-fu-dakaru-31012571
UX/UI Designer Chabad.org,3,false,true,false,basha-rochel-polter
Master Mariner - PACC Tankers Management Pte Ltd,2,false,true,false,md-hasan-reza-talukder-6a993125
UI UX Designer Mission: Mentor,2,false,true,false,tedhuang02
Consulting Director | Compliance Expert | Proven Leader,3,false,true,false,rluongo
Senior UX UI Designer II Deloitte,2,false,true,false,johnasandre
typing at Secretary/Typing Services,2,false,true,false,kung-fu-kids-0375311ab
Chief Executive Officer Doreen Group,3,false,true,false,saleh-mujahid-6b7971147
Étudiant(e) (blaboulahom),3,false,true,false,kung-fu-71bb88138
UX/UI Designer The Guac Group,2,true,true,false,tay-lorwilliams
UX/UI Designer Mile Two,2,false,true,false,nicholasdittoe
Production Coordinator Ceci New York,2,true,true,false,chiakihagiwara
Junior Product Designer FCB Health,2,false,true,false,warrenthompson84
Master of Business Administration - MBA at North South University,2,false,true,false,syeda-fareea-02aa6798
CEO at bdnews99.com,3,false,true,false,jannatul-sifa-9529141a8
UX Designer Aztech,3,true,true,false,erynscally
Server Waldorf Astoria Beverly Hills,2,true,true,false,valerie-suarez1
--,3,false,true,false,kung-fu-447a34178
CEO at MUMO FASHION.,2,false,true,false,mohidul-islam-17847680
Digital Marketing Executive at Shajao.com,1,false,true,true,anik-rahman-1104a5217
Chief Executive Officer at Star Golpo,3,false,true,false,shakeer-nizam-7834ba5b
Director @ Elytiz Management,2,false,true,false,daphneelucenet
Sr. UX/UI Developer iWorks Corporation,3,false,true,false,bruce-sklar
Master of Science - MS at BRAC University,2,false,true,false,ammar-khan-65576a96
Associate Product Designer LTK (formerly rewardStyle & LIKEtoKNOW.it),2,false,true,false,rablair
學生 － Università Iuav di Venezia,3,false,true,false,kung-fu-liu-46aa6a120
UX/UI Designer EX3 Labs,3,false,true,false,karinaearguello
Assistant colour master at Amex Knitting & Dyeing Company Limited,3,false,true,false,kausar-mamun-4b63141b0
UX/UI Designer CLEAR (clearme.com),3,false,true,false,michelle-huang974
Vice President at Coatue Management,2,true,true,false,gordontsai
"TOKİ / (Yük.İnş.Müh.) (Civil Engineer,MSc) / Toplu Konut İdaresi / Türkiye Wushu Kung Fu Federasyonu",3,false,true,false,hasan-mehmet-kuyumcu-2bb9555b
UI Designer Explorator Labs,3,false,true,false,youssef-saab
Public Speaker Kimberle G. Nagle,2,true,true,false,thedamnplan
UI/UX Designer nizek,3,false,true,false,atefeh-zeynali-65304820b
Digital Marketing lead at Shajao.com | Media buyer | Performance Marketer | 8.2M BDT Spent in Facebook Marketing,1,false,true,true,fazlerabbi0183
Co-Founder efunder,2,true,true,false,judy-corak-045a7b145
Certified Child Life Specialist II Nicklaus Children's Health System,2,true,true,false,dianemo-uxui
PTA Mom Self-employed in School of Motherhood,2,false,true,false,nusrat-neero-ab3750148
Intern M.M. Ispahani Limited,1,false,true,true,sumaiya-jannat-0a05581a5
UI Designer NHN Global,2,false,true,false,matthewmauricio
DRH France - France HR DIRECTOR at Beaulieu International Group - FLOORING Solutions,2,false,true,false,jacques-alexandre-lepron-7389aa81
UX/UI Designer/ Consultant Deloitte,3,false,true,false,julianna-yank
Ng Ying Kungfu school Apeldoorn,3,false,true,false,kungfuapeldoorn
Senior Business Development Executive ZAM TRIMS LIMITED,3,false,true,false,samir-biswas-4b0926183
Digital Marketing Specialist at Breaking Mars Inc.,1,true,true,true,asiflikhon11
UI Designer Lucid Motors,3,false,true,false,nickyhope
UX/UI Designer Lambda Clothing & Supply Co.,3,false,true,false,alexamdo
Senior Product Designer Endeavor,2,false,true,false,jamesporterux
,2,false,true,false,kung-fu-panda-32a81a88
Leadership for Women - Author and Speaker Fearfully and Wonderfully Me ,3,true,true,false,riastory
"Master of Business Administration - MBA at Jagannath University, Dhaka",2,false,true,false,sonjib-sarker-0994431b0
Web Developer/ Designer G3 Communications,2,true,true,false,michelediana
Chief Executive Officer (CEO),3,false,true,false,engr-mosleh-uddin-farid
a,3,false,true,false,zhoro-kung-fu-zazdrov-9a158671
Chief Executive Officer (CEO) at # Yarrow Fashion Ltd. (Apparel Sourcing Solution ) # Trims Solution Manufacturer and Supplier. # M&M Fabrics Sourcing.,3,false,true,false,khalil-mozumder-7329471a6
UX/UI Designer Seattle Kraken,2,false,true,false,willtrogdon
UX Designer The Moment Studio,3,false,true,false,gabriel-rivas-34333a186
CEO & chairman at Morzina trading corporation,3,false,true,false,md-mozammel-hoq-064b09159
Bootleg代表,3,false,true,false,kung-fu-samurai-547ab59a
"Founder & CEO, Mavyn Mavyn",3,false,true,false,nspiegelgotsch
Scrum Master at Field Nation,2,false,true,false,shekhsham
User Experience Designer Imc,3,true,true,false,mary-thomas-75b029163
General Manager Sales Source Energy Co.,3,false,true,false,lee-morris-perth
UX | UI Designer at Direct Energy NRG Energy,2,true,true,false,annakalita
Software Quality Assurance Engineer | Scrum Master,3,false,true,false,mahanaz-tabassum
Founder at NSG,2,false,true,false,adnan-shams-ahmed-bba-mba-australia-322567136
Intern M.M. Ispahani Limited,1,false,true,true,sumaiya-jannat-0a05581a5
Freelance UI/UX Designer / Web Developer Designs By Nome,2,true,true,false,calente-cardwell
motorista na Prefeitura Municipal de Diadema,3,false,true,false,israel-kung-fu-373b4424
Top Emerging Talent | Freelancer Pangea.app,2,false,true,false,crychan
,2,false,true,false,kung-fu-40ab098b
Lead UX Designer and Researcher Design for America,3,false,true,false,tamtranht02
UX/UI Designer CallRail,3,false,true,false,jenndesigns
Martin Eyras Fitness - Personal Trainer,2,false,true,false,eduardo-j-martin-eyras-121315
Managing Director at Hubio AI,3,false,true,false,samintumia
Senior Digital Analyst McKinsey & Company,3,false,true,false,soomi-
UX/UI Designer Handl Health,2,true,true,false,uxyasmin
UX/UI Designer Sachs Marketing Group,3,false,true,false,beckywis
Marketing Specialist TTI of USA,3,false,true,false,laguano
--,2,false,true,false,md-mustakim-474275224
User Experience Designer CryptoProof,2,true,true,false,paulinacarneiro228
UX/UI Designer BVA,3,false,true,false,alizaackerman
UI UX Designer Nombolo,3,false,true,false,giselle-aguilar-2307
Apparel & Fashion Professional,2,false,true,false,kung-fu-b9967721
Product Designer Netflix,2,false,true,false,yihaodesign
Product Owner - Design system at Desjardins,2,false,true,false,marjorielazaro
"Aviation Security officer, US-BANGLA",3,false,true,false,md-mamun-kaysar-b6a0561a6
UX/UI Design Program TA UC Berkeley Extension,2,true,true,false,jbuniak
--,3,false,true,false,kung-fu-446445b6
Master's degree at University of Dhaka,2,false,true,false,shafiqul-islam-2b7025202
Master Student at McMaster University,3,false,true,false,anindita-banik-8118a0105
Thinkful UX/UI Design Student Thinkful,2,false,true,false,jazlynmartin
Digital Marketing Specialist at Breaking Mars Inc.,1,true,true,true,asiflikhon11
cad pattern master gold star garment limited,3,false,true,false,anjer-hossain-130aba164
CEO and Producer at London Angel Film Ltd,2,false,true,false,londonangelfilm
Pattern Master,2,false,true,false,tofazzul-islam-tuhin-5304a6204
UI Designer Emerge Interactive Agency,2,false,true,false,victoria-bigsby
"UX/UI Designer/ Visual Designer, Looking for UX/UI design job opportunities.",3,false,true,false,terrykong-ux
Personal Banker Wells Fargo,3,true,true,false,christychan0414
Ux Ui Designer Sniff,3,false,true,false,alexis-youngbar-614417215
Fitness Manager في Time Care Ladies Center,3,false,true,false,fatmamokhtar
UX Designer and Researcher Forever Frosted,2,false,true,false,dylan-ramirez
Director of Marketing  Lessen,2,true,true,false,sarahsbabcock
Consultant/Entrepreneur,2,false,true,false,rubayet-khan-04a42851
Illustrator - UI/UX Designer OrganicSoft,3,false,true,false,yana-korneva-42435a160
Creative Director/ Owner Hooked by Design,3,false,true,false,viola-samantha-turcios-3543aa38
UI Designer Genome Medical,2,false,true,false,alice-maglio
Professor na Apollo Sport Center,2,false,true,false,kung-fu-jairo-298b8834
Co-founder | Chief Executive Officer at Kinative,2,false,true,false,tmabir
"Servant Leader, Black Belt, Coach, Voice of the Customer, Veteran, Lakota",3,true,true,false,justinearhart
Sr. UX Designer Alibaba Group,3,false,true,false,meishenyin
Director at RES GROUP,3,false,true,false,ruhitreza
Master of Business Administration - MBA at University of Dhaka,2,false,true,false,md-raju-rahaman-b041a4108
UI & UX Designer Exitus Global,3,false,true,false,juliestudio
Assistant Manager E-Motion ,2,false,true,false,kloegao
Teaching Tutor Coderhouse,3,false,true,false,lorena-torres-ux
--,3,false,true,false,knight-s-martial-art-kung-fu-b7096686
Nada en FORRAJES NINGUNO,3,false,true,false,kung-fu-a4028618b
Associate UX / UI Designer Point B,2,true,true,false,darathomas-ux
Master of Science - MS at University of Dhaka,2,false,true,false,engr-manik-ram-rauth-6750075b
Commercial Director Dragon Express Pvt Ltd,3,false,true,false,syed-khaled-manzoor-85234965
student of fashion design and merchandising / Asst.Cad Master at (Sharmin Group),2,false,true,false,nur-mohammed-efti-145a2520a
Master of Business Administration - MBA at International islamic university,2,false,true,false,rokebul-islam-rana-84bbab18a
UX/UI Designer ArcSite,3,false,true,false,zoie-zhu-7b218472
Product Designer | Web Developer | Digital Marketer,1,false,true,true,frayon
SQA at Shajao.com,1,false,true,true,rubaia-islam-359687232
Founder & VP Sustainability & Information Design Slow Factory Labs & Slow Factory Foundation,2,false,true,false,celinecelines
UX Designer 9Rooftops,2,false,true,false,patrick-cayer
Animation Trainee at Walt Disney Animation Studios,2,false,true,false,kenny-wong-2a9084161
Chief Financial Officer Vesselon,3,true,true,false,nedwards
UX UI Designer Developer Cisco,3,false,true,false,mahesh-babu-srirangapurapu-6182a4210
Associate Experience Designer Konrad Group,2,false,true,false,ahnajhughes
auxiliar de administração na Cimento Tupi S/A,2,false,true,false,kung-fu-a4659269
CEO vicoshine LLC,2,false,true,false,atiul-islam-354224125
Chief Executive Officer at Rancon Auto Industries Ltd,2,false,true,false,mostafizur-rashid-bhuiyan-241a3b63
"Manager CRM, Customer Service NADIA FURNITURE LTD.",3,false,true,false,jubayeralbasher
PRINCE2® |Software Project Manager | Fintech | Healthcare (AEM)| ISTQB® | Business Analyst | Scrum Master,2,false,true,false,moshiur-piash-pm
Intern M.M. Ispahani Limited,1,false,true,true,sumaiya-jannat-0a05581a5
UX/UI Designer Training Thinkful,2,true,true,false,bajabenedik
UX Designer Estack,3,true,true,false,benyamin-ghasemi
UI Designer Xerox,2,false,true,false,bryant-roesch
Intern M.M. Ispahani Limited,1,false,true,true,sumaiya-jannat-0a05581a5
UX/UI Designer Self-Employed,3,false,true,false,apromashkova
"Vice President Sales, Marketing & Communications State Listings, Inc.",3,true,true,false,rmichaelbrown
Master's degree at Dhaka College,3,false,true,false,md-mahferoz-kabir-45280742
Substitute Teacher Swing Education,2,false,true,false,alicia-liew
Technical Team Lead at eGeneration PLC,2,false,true,false,borntowinanwar
Manager,3,false,true,false,fu-jing-kung-8824b676
SQA at 6sense | High Tech Software Agency,1,false,true,true,tarannum-islam-714b9b230
User Interface Designer Augusta Hitech,3,false,true,false,valeryvasquez
Marketing Analytics Specialist WHOOP,3,false,true,false,joannaharrold
istruttore presso wuweikungfu,3,false,true,false,kung-fu-caserta-passarelli-44811a28
UX Designer Capital One,2,false,true,false,diana-dams
Senior Product Designer Zeta Global,3,false,true,false,gradiellis
Developer and Dev Manager | Project Management | Scrum Master,3,false,true,false,zahinmahmud
UX/UI Designer UpFounders,3,true,true,false,sima-sanaei-984345101
Senior User Experience Designer State Farm ®,3,true,true,false,justicecollier
Founder Touch Thy Self,3,true,true,false,ketesche
suspension engineer — 吉利控股集团,3,false,true,false,%E5%BC%BA-%E5%AE%81-a73268ab
Chief Executive Officer at Boishakhi Group Of Industries,2,false,true,false,abul-khayer-bhuyan-afa-mipa-cma-anz-b9904b228
Production Manager Snowtex Group,2,false,true,false,md-sahinur-rahman-869667158
Docente curso NEGOCIACIÓN AVANZADA RealMind S.A.,3,false,true,false,drcarlosrossi
Artist at Junkieheadent,3,false,true,false,kung-fu-301a9319a
"Associate Director, Digital Marketing Bentley University",3,true,true,false,chrisrichie
--,2,false,true,false,kung-fu-rupam-564711105
UI/UX Designer 7-Eleven,3,false,true,false,ritika-khasgiwale
UI Designer JPMorgan Chase & Co.,2,false,true,false,jaekook
Chief Executive Officer CEO and Founder,3,false,true,false,tahsin-reza-17699236
Entrepreneur,3,true,true,false,matin-mahbubul-1524124
